"","author","title","journal","date"
"558","Phil Lee","Novel genetic loci underlying human intracranial volume identified through genome-wide association.","Nature neuroscience","2016 Dec"
"559","Phil Lee","ENIGMA and the individual: Predicting factors that affect the brain in 35 countries worldwide.","NeuroImage","2017 Jan 15"
"560","Phil Lee","Novel genetic loci associated with hippocampal volume.","Nature communications","2017 Jan 18"
"561","Phil Lee","Frequency drift in MR spectroscopy at 3T.","NeuroImage","2021 Nov 1"
"562","Prasun Subedi","Triptans for migraine therapy: a comparison based on number needed to treat and doses needed to treat.","Journal of managed care pharmacy : JMCP","2005 Jun"
"563","Prasun Subedi","Economic analysis of triptan therapy for acute migraine: a Medicaid perspective.","Pharmacotherapy","2007 Aug"
"564","Prasun Subedi","Impact of patient sample on costs of events in pharmacoeconomic models.","Expert review of pharmacoeconomics & outcomes research","2008 Oct"
"565","Prasun Subedi","The promise of Immuno-oncology: implications for defining the value of cancer treatment.","Journal for immunotherapy of cancer","2019 May 17"
"566","Priyanka Gaitonde","Evaluation of PCMH Model Adoption on Teamwork and Impact on Patient Access and Safety.","Journal of primary care & community health","2017 Apr"
"567","Priyanka Gaitonde","Factors associated with use of disease modifying agents for rheumatoid arthritis in the National Hospital and Ambulatory Medical Care Survey.","Seminars in arthritis and rheumatism","2018 Apr"
"568","Priyanka Gaitonde","Characteristics of schools of pharmacy associated with a successful PGY1 residency match.","Currents in pharmacy teaching & learning","2018 Sep"
"569","Puneet Singhal","Impact of pharmacists' directive guidance behaviors on patient satisfaction.","Journal of the American Pharmaceutical Association (Washington, D.C. : 1996)","2002 May-Jun"
"570","Puneet Singhal","How robust are health plan quality indicators to data loss? A Monte Carlo simulation study of pediatric asthma treatment.","Health services research","2003 Dec"
"571","Puneet Singhal","Employer-sponsored health insurance and prescription drug coverage for new retirees: dramatic declines in five years.","Health affairs (Project Hope)","2003 Jul-Dec"
"572","Puneet Singhal","Medicare cost differences between nursing home patients admitted with and without dementia.","The Gerontologist","2005 Aug"
"573","Puneet Singhal","National estimates of exposure to prescription drugs with addiction potential in community-dwelling elders.","Substance abuse","2005 Mar"
"574","Puneet Singhal","Quality of drug treatment of childhood persistent asthma in Maryland medicaid recipients in transition from managed fee for service to managed capitation.","Journal of managed care pharmacy : JMCP","2007 May"
"575","Rahul Khairnar","Cost-of-Illness Studies: An Updated Review of Current Methods.","PharmacoEconomics","2016 Jan"
"576","Rahul Khairnar","Impact of United States Preventive Services Task Force Recommendations on Utilization of Prostate-specific Antigen Screening in Medicare Beneficiaries.","American journal of clinical oncology","2018 Nov"
"577","Rahul Khairnar","Evaluating the Cost-Effectiveness of Hydrogel Rectal Spacer in Prostate Cancer Radiation Therapy.","Practical radiation oncology","2019 Mar"
"578","Rahul Khairnar","Barriers and facilitators to diabetes self-management in a primary care setting - Patient perspectives.","Research in social & administrative pharmacy : RSAP","2019 Mar"
"579","Rahul Khairnar","Proton beam therapy delivered using pencil beam scanning vs. passive scattering/uniform scanning for localized prostate cancer: Comparative toxicity analysis of PCG 001-09.","Clinical and translational radiation oncology","2019 Nov"
"580","Rahul Khairnar","Patient Prioritization for Proton Beam Therapy in a Cost-neutral Payer Environment: Use of the Clinical Benefit Score for Resource Allocation.","Cureus","2019 Sep 19"
"581","Rahul Khairnar","Stereotactic body radiation therapy for prostate cancer: systematic review and meta-analysis of prospective trials.","Oncotarget","2019 Sep 24"
"582","Rahul Khairnar","Utilization of novel systemic therapies for multiple myeloma: A retrospective study of front-line regimens using the SEER-Medicare data.","Cancer medicine","2020 Jan"
"583","Rahul Khairnar","Patient reported outcomes following proton pencil beam scanning vs. passive scatter/uniform scanning for localized prostate cancer: Secondary analysis of PCG 001-09.","Clinical and translational radiation oncology","2020 May"
"584","Rahul Khairnar","A multi-center analysis of single-fraction versus hypofractionated stereotactic radiosurgery for the treatment of brain metastasis.","Radiation oncology (London, England)","2020 May 28"
"585","Rahul Khairnar","Immune checkpoint inhibition in patients treated with stereotactic radiation for brain metastases.","Radiation oncology (London, England)","2020 Oct 27"
"586","Rahul Khairnar","Clinical Outcomes in Patients with Recurrent Glioblastoma Treated with Proton Beam Therapy Reirradiation: Analysis of the Multi-Institutional Proton Collaborative Group Registry.","Advances in radiation oncology","2020 Sep-Oct"
"587","Rahul Khairnar","Mapping expanded prostate cancer index composite to EQ5D utilities to inform economic evaluations in prostate cancer: Secondary analysis of NRG/RTOG 0415.","PloS one","2021"
"588","Rahul Khairnar","(68)Ga-DOTATATE PET-CT as a tool for radiation planning and evaluating treatment responses in the clinical management of meningiomas.","Radiation oncology (London, England)","2021 Aug 16"
"589","Rahul Khairnar","Methodological Comparison of Mapping the Expanded Prostate Cancer Index Composite to EuroQoL-5D-3L Using Cross-Sectional and Longitudinal Data: Secondary Analysis of NRG/RTOG 0415.","JCO clinical cancer informatics","2022 Jun"
"590","Robert LoCasale","Looking beyond urban/rural differences: emergency department utilization by asthmatic children.","The Journal of asthma : official journal of the Association for the Care of Asthma","2006 May"
"591","Robert LoCasale","Risk areas for pediatric acute care: asthma differs from upper and lower respiratory illness.","Health & place","2007 Jun"
"592","Robert LoCasale","Transition to managed care impacts health care service utilization by children insured by Medicaid.","The Journal of asthma : official journal of the Association for the Care of Asthma","2007 Nov"
"593","Sabrina Wang","Evaluating Disparities in Pathways to Breast Reconstruction.","Journal of reconstructive microsurgery","2023 Nov"
"594","Sabrina Wang","Co-designing Medication Optimization Patient-Centered Outcomes Research With Older People and Caregivers as Research Partners.","The Senior care pharmacist","2024 Nov 1"
"595","Sabrina Wang","Older adult and caregiver needs for patient-centered outcomes research training in medication optimization.","Journal of the American Geriatrics Society","2025 Apr"
"596","Sabrina Wang","Returning to Work Is Associated With Higher Quality of Life: A LIMB-Q Analysis in Patients With Limb-Threatening Injuries.","Journal of orthopaedic trauma","2025 Apr 1"
"597","Sabrina Wang","Financial toxicity negatively impacts outcomes in lower extremity trauma patients.","Journal of plastic, reconstructive & aesthetic surgery : JPRAS","2025 Aug"
"598","Sabrina Wang","Characterizing patient care experience among adults with lower extremity trauma.","Journal of plastic, reconstructive & aesthetic surgery : JPRAS","2025 Jul"
"599","Sabrina Wang","Long-Term LIMB-Q Scores Following Severe Lower Extremity Traumatic Injuries.","Plastic and reconstructive surgery","2025 Mar 31"
"600","Sachin Kamal-Bahl","Economic analyses of respiratory syncytial virus immunoprophylaxis in high-risk infants: a systematic review.","Archives of pediatrics & adolescent medicine","2002 Oct"
"601","Sachin Kamal-Bahl","Propoxyphene use by community-dwelling and institutionalized elderly Medicare beneficiaries.","Journal of the American Geriatrics Society","2003 Aug"
"602","Sachin Kamal-Bahl","Trends in the prescription of inappropriate drugs for the elderly between 1995 and 1999.","The American journal of geriatric pharmacotherapy","2003 Dec"
"603","Sachin Kamal-Bahl","How do incentive-based formularies influence drug selection and spending for hypertension?","Health affairs (Project Hope)","2004 Jan-Feb"
"604","Sachin Kamal-Bahl","National trends in and predictors of propoxyphene use in community-dwelling older adults.","The American journal of geriatric pharmacotherapy","2005 Sep"
"605","Sachin Kamal-Bahl","Propoxyphene use and risk for hip fractures in older adults.","The American journal of geriatric pharmacotherapy","2006 Sep"
"606","Sachin Kamal-Bahl","Obesity, disease burden, and prescription spending by community-dwelling Medicare beneficiaries.","Current medical research and opinion","2008 Aug"
"607","Sachin Kamal-Bahl","Impact of Updated Clinical Practice Guidelines on Outpatient Treatment for Clostridioides difficile Infection and Associated Clinical Outcomes.","Open forum infectious diseases","2022 Oct"
"608","Salome Ricci","Evidence inventory: A patient-centered framework for Centers for Medicare & Medicaid Services to assess the clinical benefit of drugs to inform its maximum fair price negotiation.","Journal of managed care & specialty pharmacy","2024 Mar 1"
"609","Salome Ricci","Differences in health state valuation for small, low-risk thyroid cancer between general population and cancer survivors: a cross-sectional analysis.","Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation","2025 Aug 23"
"610","Samantha Dougherty","The effect of supplemental medical and prescription drug coverage on health care spending for Medicare beneficiaries with cancer.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2014 Jan-Feb"
"611","Samantha Dougherty","Eligibility For And Enrollment In Medicare Part D Medication Therapy Management Programs Varies By Plan Sponsor.","Health affairs (Project Hope)","2016 Sep 1"
"612","Samantha Dougherty","How Low-Income Subsidy Recipients Respond to Medicare Part D Cost Sharing.","Health services research","2017 Jun"
"613","Samantha Dougherty","Does the offer of free prescriptions increase generic prescribing?","The American journal of managed care","2017 Jun 1"
"614","Samantha Dougherty","Affordability and adherence gains for Medicare Part D low-income subsidy recipients when low-income subsidy benefits expanded in 2024.","Journal of managed care & specialty pharmacy","2024 Jul"
"615","Sanjay Merchant","Use of ICD-9 coding as a proxy for stage of disease in lung cancer.","Pharmacoepidemiology and drug safety","2002 Dec"
"616","Sanjay Merchant","Factors associated with hospitalization costs for patients with community-acquired pneumonia.","Clinical therapeutics","2003 Feb"
"617","Sarah Dutcher","The effect of dementia on medication use and adherence among Medicare beneficiaries with chronic heart failure.","The American journal of geriatric pharmacotherapy","2012 Feb"
"618","Sarah Dutcher","Medication reconciliation during the transition to and from long-term care settings: a systematic review.","Research in social & administrative pharmacy : RSAP","2012 Jan-Feb"
"619","Sarah Dutcher","Pharmacotherapeutic management of dementia across settings of care.","Journal of the American Geriatrics Society","2013 May"
"620","Sarah Dutcher","Effect of medications on physical function and cognition in nursing home residents with dementia.","Journal of the American Geriatrics Society","2014 Jun"
"621","Sarah Dutcher","Use of drugs with anticholinergic properties among nursing home residents with dementia: a national analysis of Medicare beneficiaries from 2007 to 2008.","Drugs & aging","2015 Jan"
"622","Sarah Dutcher","A Systematic Review of the Benefits and Risks of Anticoagulation Following Traumatic Brain Injury.","The Journal of head trauma rehabilitation","2015 Jul-Aug"
"623","Sarah Dutcher","Assessing Physician and Patient Perceptions of Generic Drugs via Facebook: A Feasibility Study.","The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians","2018 Apr"
"624","Satish Valluri","Psychotherapeutic medication prevalence in Medicaid-insured preschoolers.","Journal of child and adolescent psychopharmacology","2007 Apr"
"625","Satish Valluri","A three-country comparison of psychotropic medication prevalence in youth.","Child and adolescent psychiatry and mental health","2008 Sep 25"
"626","Satish Valluri","Impact of the 2004 Food and Drug Administration pediatric suicidality warning on antidepressant and psychotherapy treatment for new-onset depression.","Medical care","2010 Nov"
"627","Sean Fleming","Staffing and Protective Equipment Access Mitigated COVID-19 Penetration and Spread in US Nursing Homes During the Third Surge.","Journal of the American Medical Directors Association","2021 Dec"
"628","Sean Fleming","Patterns of opioid use in commercially insured patients with cancer.","The American journal of managed care","2022 May"
"629","Sean Fleming","Social determinants predict whether Medicare beneficiaries are offered a Comprehensive Medication Review.","Research in social & administrative pharmacy : RSAP","2023 Jan"
"630","Sean Fleming","Unintended impacts of a national antipsychotic reduction initiative among nursing facility residents with and without Alzheimer's disease.","Journal of the American Geriatrics Society","2023 Jun"
"631","Sean Fleming","Examining transitions of care among nursing home residents with and without antipsychotic medication use.","Aging & mental health","2023 Sep-Oct"
"632","Sean Fleming","Association of COVID-19 Vaccination Rates and Facility Characteristics on COVID-19 Cases, Hospitalizations, and Deaths in US Nursing Homes.","Journal of the American Medical Directors Association","2024 Feb"
"633","Sean Fleming","Nursing Home Characteristics Associated with Antipsychotic Prescribing After Implementation of the National Antipsychotic Reduction Initiative (ARI).","Clinical gerontologist","2024 Oct-Dec"
"634","Shelby Reed","How Well Are Women Represented in Authorship in HEOR? An Analysis of Value in Health: An ISPOR Report.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2025 May"
"635","Simu Thomas","Cost effectiveness of kinetic therapy in preventing nosocomial lower respiratory tract infections in patients suffering from trauma.","Managed care interface","2002 Aug"
"636","Simu Thomas","Use of ICD-9 coding as a proxy for stage of disease in lung cancer.","Pharmacoepidemiology and drug safety","2002 Dec"
"637","Simu Thomas","Association of knowledge, anxiety, and fear with adherence to follow up for colposcopy.","Journal of lower genital tract disease","2002 Jan"
"638","Simu Thomas","The economic impact of laparoscopic living-donor nephrectomy on kidney transplantation.","Transplantation","2003 May 15"
"639","Sydney Yuen","A Systematic Review of Cost-Effectiveness Analyses for Hepatocellular Carcinoma Treatment.","PharmacoEconomics - open","2022 Jan"
"640","Tao Fan","Providing linguistically appropriate services to persons with limited English proficiency: a needs and resources investigation.","The American journal of managed care","2004 Sep"
"641","Tao Fan","Ethnic disparities and trends in glycemic control among adults with type 2 diabetes in the U.S. from 1988 to 2002.","Diabetes care","2006 Aug"
"642","Tao Fan","A novel multiple FISH array for the detection of genetic aberrations in cancer.","Laboratory investigation; a journal of technical methods and pathology","2006 Jun"
"643","Tao Fan","Genetic deletions in sputum as diagnostic markers for early detection of stage I non-small cell lung cancer.","Clinical cancer research : an official journal of the American Association for Cancer Research","2007 Jan 15"
"644","Tao Fan","Patient characteristics and prescription fill patterns for allergic rhinitis medications, with a focus on montelukast, in a commercially insured population.","Clinical therapeutics","2010 Jun"
"645","Tarlan Namvar","Assessment of primary care practitioners' attitudes and interest in pharmacogenomic testing.","Pharmacogenomics","2020 Oct"
"646","Tham Le","Association of C-Reactive Protein With Bacterial and Respiratory Syncytial Virus-Associated Pneumonia Among Children Aged <5 Years in the PERCH Study.","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","2017 Jun 15"
"647","Tham Le","Changes in Opioid Utilization Following Tumor Necrosis Factor Inhibitor Initiation in Patients with Rheumatoid Arthritis.","Rheumatology and therapy","2019 Dec"
"648","Tham Le","Respiratory events associated with concomitant opioid and sedative use among Medicare beneficiaries with chronic obstructive pulmonary disease.","BMJ open respiratory research","2020 Mar"
"649","Tham Le","Staffing and Protective Equipment Access Mitigated COVID-19 Penetration and Spread in US Nursing Homes During the Third Surge.","Journal of the American Medical Directors Association","2021 Dec"
"650","Tham Le","The Etiology of Pneumonia From Analysis of Lung Aspirate and Pleural Fluid Samples: Findings From the Pneumonia Etiology Research for Child Health (PERCH) Study.","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","2021 Dec 6"
"651","Tham Le","Prevalence and Newly Diagnosed Rates of Multimorbidity in Older Medicare Beneficiaries with COPD.","COPD","2021 Oct"
"652","Tham Le","Prediction of treatment nonadherence among older adults with chronic obstructive pulmonary disease using Medicare real-world data.","Journal of managed care & specialty pharmacy","2022 Jun"
"653","Tham Le","Patterns of opioid use in commercially insured patients with cancer.","The American journal of managed care","2022 May"
"654","Ting-Ying Huang","Effect of exposure to evidence-based pharmacotherapy on outcomes after acute myocardial infarction in older adults.","Journal of the American Geriatrics Society","2012 Oct"
"655","Ting-Ying Huang","Treatment and outcomes for chronic myelomonocytic leukemia compared to myelodysplastic syndromes in older adults.","Haematologica","2013 Apr"
"656","Ting-Ying Huang","Quality of psychopharmacological medication prescribing and mortality in Medicare beneficiaries in nursing homes.","Journal of the American Geriatrics Society","2014 Aug"
"657","Ting-Ying Huang","Quality of psychopharmacological medication use in nursing home residents.","Research in social & administrative pharmacy : RSAP","2014 May-Jun"
"658","Ting-Ying Huang","Treated Behavioral Symptoms and Mortality in Medicare Beneficiaries in Nursing Homes with Alzheimer's Disease and Related Dementias.","Journal of the American Geriatrics Society","2015 Sep"
"659","Ting-Ying Huang","Mortality Risk of Antipsychotic Dose and Duration in Nursing Home Residents with Chronic or Acute Indications.","Journal of the American Geriatrics Society","2016 May"
"660","Ting-Ying Huang","New episodes of depression among Medicare beneficiaries with chronic obstructive pulmonary disease.","International journal of geriatric psychiatry","2016 May"
"661","Ting-Ying Huang","Adherence to Maintenance Medications among Older Adults with Chronic Obstructive Pulmonary Disease. The Role of Depression.","Annals of the American Thoracic Society","2016 Sep"
"662","Ting-Ying Huang","Adherence and healthcare utilization among older adults with COPD and depression.","Respiratory medicine","2017 Aug"
"663","Ting-Ying Huang","Concomitant use of calcium channel blockers with dual antiplatelet therapy and re-hospitalization for acute coronary syndrome.","Pharmacoepidemiology and drug safety","2017 Mar"
"664","Ting-Ying Huang","The association of antidepressant treatment with COPD maintenance medication use and adherence in a comorbid Medicare population: A longitudinal cohort study.","International journal of geriatric psychiatry","2018 Feb"
"665","Ting-Ying Huang","Exploratory and Confirmatory Factor Analyses of Delirium Symptoms in a Sample of Nursing Home Residents.","Journal of applied gerontology : the official journal of the Southern Gerontological Society","2018 Feb"
"666","Tsung Ying Lee","Development of diabetes-specific quality of life module to be in conjunction with the World Health Organization quality of life scale brief version (WHOQOL-BREF).","Health and quality of life outcomes","2017 Aug 23"
"667","Tsung Ying Lee","Pharmacoeconomic analysis of antifungal therapy for primary treatment of invasive candidiasis caused by Candida albicans and non-albicans Candida species.","BMC infectious diseases","2017 Jul 10"
"668","Tsung Ying Lee","Incidence of diabetes-related complications in Chinese patients with type 1 diabetes: a population-based longitudinal cohort study in Taiwan.","BMJ open","2017 Jun 21"
"669","Tsung Ying Lee","Comparative risks of diabetes-related complications of basal insulins: a longitudinal population-based cohort of type 1 diabetes 1999-2013 in Taiwan.","British journal of clinical pharmacology","2018 Feb"
"670","Tsung Ying Lee","Cost-effectiveness of long-acting insulin analogues vs intermediate/long-acting human insulin for type 1 diabetes: A population-based cohort followed over 10 years.","British journal of clinical pharmacology","2020 May"
"671","Tsung Ying Lee","Cost-utility analysis of inotuzumab ozogamicin for relapsed or refractory B cell acute lymphoblastic leukemia from the perspective of Taiwan's health care system.","The European journal of health economics : HEPAC : health economics in prevention and care","2020 Sep"
"672","Tsung Ying Lee","Endocardial Endothelial Dysfunction and Unknown Polymorphic Composite Accumulation in Heart Failure.","Biomedicines","2021 Oct 13"
"673","Tsung Ying Lee","miR-29a-3p/THBS2 Axis Regulates PAH-Induced Cardiac Fibrosis.","International journal of molecular sciences","2021 Sep 30"
"674","Tsung Ying Lee","Economic burden of interstitial lung disease in a commercially insured population with Sjögren syndrome in the United States.","Journal of managed care & specialty pharmacy","2022 Jul"
"675","Tsung Ying Lee","External validation of lung function predictions in real-world cohorts of COPD.","Respiratory medicine","2022 Jul"
"676","Tsung Ying Lee","Real-World Effectiveness of the Gla-300 + Cap + App Program in Adult Users Living with Type 2 Diabetes in Taiwan.","Diabetes therapy : research, treatment and education of diabetes and related disorders","2024 Jun"
"677","Tsung Ying Lee","Costs and health care resource utilization among Medicare beneficiaries diagnosed with chronic lymphocytic leukemia.","Journal of managed care & specialty pharmacy","2024 May"
"678","Tsung Ying Lee","Disparity in treatment patterns among Medicare beneficiaries diagnosed with chronic lymphocytic leukemia: an analysis of patient and contextual factors.","Leukemia & lymphoma","2024 May"
"679","Tsung Ying Lee","Longitudinal patterns of loss of independence in Parkinson disease.","Neurodegenerative disease management","2025 Jun 4"
"680","Udim Damachi","Antidepressant Use Trajectories and Risk of Discontinuation After Adolescents and Young Adult Cancer Diagnosis.","Pharmacoepidemiology and drug safety","2025 Apr"
"681","Uzma Pathan","County-level factors associated with a mismatch between opioid overdose mortality and availability of opioid treatment facilities.","PloS one","2024"
"682","Viktor Chirikov","Decision support tools to optimize economic outcomes for type 2 diabetes.","The American journal of managed care","2011 Nov"
"683","Viktor Chirikov","Comparison of physician practice patterns for older adults compared to NHANES diabetes cohort on oral/other therapy.","Expert review of pharmacoeconomics & outcomes research","2013 Feb"
"684","Viktor Chirikov","Social networks help control hypertension.","Journal of clinical hypertension (Greenwich, Conn.)","2013 Jan"
"685","Viktor Chirikov","Transarterial chemoembolization treatment: association between multiple treatments, cumulative expenditures, and survival.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2013 Jul-Aug"
"686","Viktor Chirikov","Effect of social networks intervention in type 2 diabetes: a partial randomised study.","Journal of epidemiology and community health","2014 Apr"
"687","Viktor Chirikov","Comparative and cost effectiveness of treatment modalities for hepatocellular carcinoma in SEER-Medicare.","PharmacoEconomics","2014 Jan"
"688","Viktor Chirikov","Association between interferon use and reduced metabolic and vascular complications among patients with hepatitis C.","Expert review of gastroenterology & hepatology","2014 Nov"
"689","Viktor Chirikov","Determinants of quality of care and treatment initiation in Medicare disabled patients with chronic hepatitis C.","Expert review of gastroenterology & hepatology","2015"
"690","Viktor Chirikov","Impact of a comprehensive pharmacist medication-therapy management service.","Journal of medical economics","2015"
"691","Viktor Chirikov","Multispecialist Care and Mortality in Hepatocellular Carcinoma.","American journal of clinical oncology","2015 Dec"
"692","Viktor Chirikov","Physician specialty cost differences of treating nonmelanoma skin cancer.","Annals of plastic surgery","2015 Jan"
"693","Viktor Chirikov","Contextual analysis of determinants of late diagnosis of hepatitis C virus infection in medicare patients.","Hepatology (Baltimore, Md.)","2015 Jul"
"694","Viktor Chirikov","A Call for Appropriate Evidence and Outcomes-Based Use and Measurement of Anticoagulation for Atrial Fibrillation: Moving the Population Towards Improved Health Via Multiple Stakeholders.","Journal of managed care & specialty pharmacy","2015 Nov"
"695","Viktor Chirikov","Impact of Case Mix Severity on Quality Improvement in a Patient-centered Medical Home (PCMH) in the Maryland Multi-Payor Program.","Journal of the American Board of Family Medicine : JABFM","2016 Jan-Feb"
"696","Viktor Chirikov","Research is needed on the difficult-to-cure population of hepatitis C virus patients with disability.","Hepatology (Baltimore, Md.)","2016 Jun"
"697","Viktor Chirikov","Tree-based Claims Algorithm for Measuring Pretreatment Quality of Care in Medicare Disabled Hepatitis C Patients.","Medical care","2017 Dec"
"698","Viktor Chirikov","The Real-World Lifetime Economic Burden of Urothelial Carcinoma by Stage at Diagnosis.","Journal of clinical pathways : the foundation of value-based care","2020 May"
"699","Vithaya Kulsomboon","Multidisciplinary perspective intervention with community involvement to decrease antibiotic sales in village groceries in Thailand.","Asia-Pacific journal of public health","2015 Mar"
"700","Xian Shen","A Systematic Review of the Benefits and Risks of Anticoagulation Following Traumatic Brain Injury.","The Journal of head trauma rehabilitation","2015 Jul-Aug"
"701","Xian Shen","Improving the effectiveness of pharmacist-assisted tobacco cessation: a study of participant- and pharmacy-specific differences in quit rates.","The Annals of pharmacotherapy","2015 Mar"
"702","Xian Shen","Trends in prevalence for moderate-to-severe pain and persistent pain among Medicare beneficiaries in nursing homes, 2006-2009.","The journals of gerontology. Series A, Biological sciences and medical sciences","2015 May"
"703","Xian Shen","Proximal Predictors of Long-Term Discontinuance with Noninsulin Antihyperglycemic Agents.","Journal of managed care & specialty pharmacy","2016 Sep"
"704","Xian Shen","Eligibility For And Enrollment In Medicare Part D Medication Therapy Management Programs Varies By Plan Sponsor.","Health affairs (Project Hope)","2016 Sep 1"
"705","Xian Shen","Impact of formulary restrictions on medication use and costs.","The American journal of managed care","2017 Aug 1"
"706","Xian Shen","Impact of formulary restrictions on medication intensification in diabetes treatment.","The American journal of managed care","2018 May"
"707","Xian Shen","Alternative payment models and innovation: a case study of US health system adoption of a sacubitril/valsartan to treat acute decompensated heart failure.","Journal of medical economics","2020 Dec"
"708","Xingyue Huang","Proximal Predictors of Long-Term Discontinuance with Noninsulin Antihyperglycemic Agents.","Journal of managed care & specialty pharmacy","2016 Sep"
"709","Xinyi Ng","Comparison of the Charlson Comorbidity Index derived from self-report and medical record review in Asian patients with rheumatic diseases.","Rheumatology international","2015 Dec"
"710","Xinyi Ng","Construct validity and factor structure of survey-based assessment of cost-related medication burden.","Medical care","2015 Feb"
"711","Xinyi Ng","A best-worst scaling experiment to prioritize caregiver concerns about ADHD medication for children.","Psychiatric services (Washington, D.C.)","2015 Feb 1"
"712","Xinyi Ng","Pulmonologist involvement, stage-specific treatment, and survival in adults with non-small cell lung cancer and chronic obstructive pulmonary disease.","Annals of the American Thoracic Society","2015 May"
"713","Xinyi Ng","Using Best-Worst Scaling to Measure Caregiver Preferences for Managing their Child's ADHD: A Pilot Study.","The patient","2015 Oct"
"714","Xinyi Ng","Assessment of an Expanded Functional Disability Scale for Older Adults With Diabetes.","Journal of applied gerontology : the official journal of the Southern Gerontological Society","2016 May"
"715","Xinyi Ng","Caregiver Treatment Preferences for Children with a New Versus Existing Attention-Deficit/Hyperactivity Disorder Diagnosis.","Journal of child and adolescent psychopharmacology","2017 Apr"
"716","Xinyi Ng","A Latent Class Analysis to Identify Variation in Caregivers' Preferences for their Child's Attention-Deficit/Hyperactivity Disorder Treatment: Do Stated Preferences Match Current Treatment?","The patient","2017 Apr"
"717","Xinyi Ng","Caregivers' Priorities and Observed Outcomes of Attention-Deficit Hyperactivity Disorder Medication for Their Children.","Journal of developmental and behavioral pediatrics : JDBP","2018 Feb/Mar"
"718","Xuehua Ke","Potential for erroneous interpretation of poisoning outcomes due to changes in National Poison Data System reporting.","Clinical toxicology (Philadelphia, Pa.)","2010 Aug"
"719","Xuehua Ke","Patient and physician characteristics associated with erythropoiesis-stimulating agent use in patients with myelodysplastic syndromes.","Haematologica","2012 Jan"
"720","Xuehua Ke","Erythropoiesis-stimulating agents are not associated with increased risk of thrombosis in patients with myelodysplastic syndromes.","Haematologica","2012 Jan"
"721","Xuehua Ke","Treatment and outcomes for chronic myelomonocytic leukemia compared to myelodysplastic syndromes in older adults.","Haematologica","2013 Apr"
"722","Xuehua Ke","Out-of-pocket health care expenditure burden for Medicare beneficiaries with cancer.","Cancer","2013 Mar 15"
"723","Xuehua Ke","The effect of supplemental medical and prescription drug coverage on health care spending for Medicare beneficiaries with cancer.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2014 Jan-Feb"
"724","Xuehua Ke","Validation of disability status, a claims-based measure of functional status for cancer treatment and outcomes studies.","Medical care","2014 Jun"
"725","Yoon Duk Hong","Querying stakeholders to inform comparative effectiveness research.","Journal of comparative effectiveness research","2017 May 9"
"726","Yoon Duk Hong","Patient-Reported Outcomes in Orphan Drug Labels Approved by the US Food and Drug Administration.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2019 Aug"
"727","Yoon Duk Hong","Medication errors in community pharmacies: The need for commitment, transparency, and research.","Research in social & administrative pharmacy : RSAP","2019 Jul"
"728","Yoon Duk Hong","The Economic Burden of Comorbid Obstructive Sleep Apnea Among Patients with Chronic Obstructive Pulmonary Disease.","Journal of managed care & specialty pharmacy","2020 Oct"
"729","Yoon Duk Hong","Stakeholder-Engaged Derivation of Patient-Informed Value Elements.","The patient","2020 Oct"
"730","Yoon Duk Hong","Comparative effectiveness and safety of pharmaceuticals assessed in observational studies compared with randomized controlled trials.","BMC medicine","2021 Dec 6"
"731","Yoon Duk Hong","Are Communities Willing to Transition Into Learning Health Care Communities? A Community-Based Participatory Evaluation of Stakeholders' Receptivity.","Qualitative health research","2021 Jul"
"732","Yoon Duk Hong","Correction to: Prioritization and Refinement of Patient-Informed Value Elements as Attributes for Chronic Obstructive Pulmonary Disease Treatment Preferences.","The patient","2021 Sep"
"733","Yoon Duk Hong","Prioritization and Refinement of Patient-Informed Value Elements as Attributes for Chronic Obstructive Pulmonary Disease Treatment Preferences.","The patient","2021 Sep"
"734","Yoon Duk Hong","Similar values, different expectations: How do patients and providers view 'health' and perceive the healthcare experience?","Health expectations : an international journal of public participation in health care and health policy","2022 Aug"
"735","Yoon Duk Hong","Association of individual low-income status and area deprivation with mortality in multiple myeloma.","Journal of geriatric oncology","2023 Mar"
"736","Yu Hua Fu","Applying the Andersen behavioral model to the medication therapy management program: an approach for improving medication safety in older adults.","Frontiers in public health","2024"
"737","Yu Hua Fu","Prescribing Trends and Associated Outcomes of Antiepileptic Drugs and Other Psychotropic Medications in US Nursing Homes: Proposal for a Mixed Methods Investigation.","JMIR research protocols","2024 Sep 19"
"738","Yu Hua Fu","A Nursing Home Clinician Survey to Explain Gabapentinoid Increases.","Journal of the American Medical Directors Association","2025 Jan"
"739","Yu Hua Fu","A National Survey of Nursing Home Clinicians to Explain Increased Valproate Prescribing.","The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry","2025 Jul 26"
"740","Yu Hua Fu","Clinician Perspectives on Increased Gabapentinoid Prescribing in Nursing Homes.","Journal of the American Geriatrics Society","2025 Jun"
